"Notes"	"Census Region"	"Census Region Code"	"Single Race 6"	"Single Race 6 Code"	"Sex"	"Sex Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"Male"	"M"	"2020"	"2020"	9653	3594541	268.5	263.2	273.9
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"Male"	"M"	"2021"	"2021"	9423	3662468	257.3	252.1	262.5
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"Male"	"M"	"2022"	"2022"	9246	3666702	252.2	247.0	257.3
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"Male"	"M"	"2023"	"2023"	8865	3675882	241.2	236.1	246.2
	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"Male"	"M"	"2024 "	"2024"	8750	3740997	233.9	229.0	238.8
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"	"Male"	"M"			45937	18340590	250.5	248.2	252.8
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Black or African American"	"2054-5"					83761	37950909	220.7	219.2	222.2
	"Census Region 2: Midwest"	"CENS-R2"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"2020"	"2020"	27	27779	97.2	64.1	141.4
	"Census Region 2: Midwest"	"CENS-R2"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"2021"	"2021"	17	29075	58.5	34.1	93.6
	"Census Region 2: Midwest"	"CENS-R2"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"2022"	"2022"	29	30938	93.7	62.8	134.6
	"Census Region 2: Midwest"	"CENS-R2"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"2023"	"2023"	27	33364	80.9	53.3	117.7
	"Census Region 2: Midwest"	"CENS-R2"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"2024 "	"2024"	28	36186	77.4	51.4	111.8
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"			128	157342	81.4	67.3	95.4
	"Census Region 2: Midwest"	"CENS-R2"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2020"	"2020"	23	29915	76.9	48.7	115.4
	"Census Region 2: Midwest"	"CENS-R2"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2021"	"2021"	25	31226	80.1	51.8	118.2
	"Census Region 2: Midwest"	"CENS-R2"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2022"	"2022"	24	33044	72.6	46.5	108.1
	"Census Region 2: Midwest"	"CENS-R2"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2023"	"2023"	36	35220	102.2	71.6	141.5
	"Census Region 2: Midwest"	"CENS-R2"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"	"2024 "	"2024"	30	38246	78.4	52.9	112.0
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Male"	"M"			138	167651	82.3	68.6	96.0
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"					266	324993	81.8	72.0	91.7
	"Census Region 2: Midwest"	"CENS-R2"	"White"	"2106-3"	"Female"	"F"	"2020"	"2020"	63052	28289181	222.9	221.1	224.6
	"Census Region 2: Midwest"	"CENS-R2"	"White"	"2106-3"	"Female"	"F"	"2021"	"2021"	62000	28261644	219.4	217.7	221.1
	"Census Region 2: Midwest"	"CENS-R2"	"White"	"2106-3"	"Female"	"F"	"2022"	"2022"	64046	28125618	227.7	226.0	229.5
	"Census Region 2: Midwest"	"CENS-R2"	"White"	"2106-3"	"Female"	"F"	"2023"	"2023"	61428	28171260	218.1	216.3	219.8
	"Census Region 2: Midwest"	"CENS-R2"	"White"	"2106-3"	"Female"	"F"	"2024 "	"2024"	61879	28272968	218.9	217.1	220.6
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"White"	"2106-3"	"Female"	"F"			312405	141120671	221.4	220.6	222.2
	"Census Region 2: Midwest"	"CENS-R2"	"White"	"2106-3"	"Male"	"M"	"2020"	"2020"	74716	27780551	269.0	267.0	270.9
	"Census Region 2: Midwest"	"CENS-R2"	"White"	"2106-3"	"Male"	"M"	"2021"	"2021"	75110	28119089	267.1	265.2	269.0
	"Census Region 2: Midwest"	"CENS-R2"	"White"	"2106-3"	"Male"	"M"	"2022"	"2022"	75805	28081594	269.9	268.0	271.9
	"Census Region 2: Midwest"	"CENS-R2"	"White"	"2106-3"	"Male"	"M"	"2023"	"2023"	73307	28025901	261.6	259.7	263.5
	"Census Region 2: Midwest"	"CENS-R2"	"White"	"2106-3"	"Male"	"M"	"2024 "	"2024"	73169	28136383	260.1	258.2	261.9
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"White"	"2106-3"	"Male"	"M"			372107	140143518	265.5	264.7	266.4
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"White"	"2106-3"					684512	281264189	243.4	242.8	243.9
	"Census Region 2: Midwest"	"CENS-R2"	"More than one race"	"M"	"Female"	"F"	"2020"	"2020"	140	829535	16.9	14.1	19.7
	"Census Region 2: Midwest"	"CENS-R2"	"More than one race"	"M"	"Female"	"F"	"2021"	"2021"	172	856571	20.1	17.1	23.1
	"Census Region 2: Midwest"	"CENS-R2"	"More than one race"	"M"	"Female"	"F"	"2022"	"2022"	212	878880	24.1	20.9	27.4
	"Census Region 2: Midwest"	"CENS-R2"	"More than one race"	"M"	"Female"	"F"	"2023"	"2023"	202	901737	22.4	19.3	25.5
	"Census Region 2: Midwest"	"CENS-R2"	"More than one race"	"M"	"Female"	"F"	"2024 "	"2024"	207	934012	22.2	19.1	25.2
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"More than one race"	"M"	"Female"	"F"			933	4400735	21.2	19.8	22.6
	"Census Region 2: Midwest"	"CENS-R2"	"More than one race"	"M"	"Male"	"M"	"2020"	"2020"	217	821587	26.4	22.9	29.9
	"Census Region 2: Midwest"	"CENS-R2"	"More than one race"	"M"	"Male"	"M"	"2021"	"2021"	218	851254	25.6	22.2	29.0
	"Census Region 2: Midwest"	"CENS-R2"	"More than one race"	"M"	"Male"	"M"	"2022"	"2022"	244	877520	27.8	24.3	31.3
	"Census Region 2: Midwest"	"CENS-R2"	"More than one race"	"M"	"Male"	"M"	"2023"	"2023"	246	899903	27.3	23.9	30.8
	"Census Region 2: Midwest"	"CENS-R2"	"More than one race"	"M"	"Male"	"M"	"2024 "	"2024"	231	935213	24.7	21.5	27.9
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"More than one race"	"M"	"Male"	"M"			1156	4385477	26.4	24.8	27.9
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"More than one race"	"M"					2089	8786212	23.8	22.8	24.8
"Total"	"Census Region 2: Midwest"	"CENS-R2"							781167	344451650	226.8	226.3	227.3
	"Census Region 3: South"	"CENS-R3"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2020"	"2020"	503	657589	76.5	69.8	83.2
	"Census Region 3: South"	"CENS-R3"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2021"	"2021"	572	668021	85.6	78.6	92.6
	"Census Region 3: South"	"CENS-R3"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2022"	"2022"	570	674219	84.5	77.6	91.5
	"Census Region 3: South"	"CENS-R3"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2023"	"2023"	556	700853	79.3	72.7	85.9
	"Census Region 3: South"	"CENS-R3"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2024 "	"2024"	602	746751	80.6	74.2	87.1
"Total"	"Census Region 3: South"	"CENS-R3"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"			2803	3447433	81.3	78.3	84.3
	"Census Region 3: South"	"CENS-R3"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2020"	"2020"	714	673027	106.1	98.3	113.9
	"Census Region 3: South"	"CENS-R3"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2021"	"2021"	825	687630	120.0	111.8	128.2
	"Census Region 3: South"	"CENS-R3"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2022"	"2022"	779	698092	111.6	103.8	119.4
	"Census Region 3: South"	"CENS-R3"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2023"	"2023"	776	724612	107.1	99.6	114.6
	"Census Region 3: South"	"CENS-R3"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2024 "	"2024"	762	780267	97.7	90.7	104.6
"Total"	"Census Region 3: South"	"CENS-R3"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"			3856	3563628	108.2	104.8	111.6
"Total"	"Census Region 3: South"	"CENS-R3"	"American Indian or Alaska Native"	"1002-5"					6659	7011061	95.0	92.7	97.3
	"Census Region 3: South"	"CENS-R3"	"Asian"	"A"	"Female"	"F"	"2020"	"2020"	1170	2522653	46.4	43.7	49.0
	"Census Region 3: South"	"CENS-R3"	"Asian"	"A"	"Female"	"F"	"2021"	"2021"	1283	2557627	50.2	47.4	52.9
	"Census Region 3: South"	"CENS-R3"	"Asian"	"A"	"Female"	"F"	"2022"	"2022"	1461	2671205	54.7	51.9	57.5
	"Census Region 3: South"	"CENS-R3"	"Asian"	"A"	"Female"	"F"	"2023"	"2023"	1451	2778062	52.2	49.5	54.9
	"Census Region 3: South"	"CENS-R3"	"Asian"	"A"	"Female"	"F"	"2024 "	"2024"	1523	3014633	50.5	48.0	53.1
"Total"	"Census Region 3: South"	"CENS-R3"	"Asian"	"A"	"Female"	"F"			6888	13544180	50.9	49.7	52.1
	"Census Region 3: South"	"CENS-R3"	"Asian"	"A"	"Male"	"M"	"2020"	"2020"	1735	2322776	74.7	71.2	78.2
	"Census Region 3: South"	"CENS-R3"	"Asian"	"A"	"Male"	"M"	"2021"	"2021"	1836	2381268	77.1	73.6	80.6
	"Census Region 3: South"	"CENS-R3"	"Asian"	"A"	"Male"	"M"	"2022"	"2022"	1981	2506356	79.0	75.6	82.5
	"Census Region 3: South"	"CENS-R3"	"Asian"	"A"	"Male"	"M"	"2023"	"2023"	1922	2595917	74.0	70.7	77.3
	"Census Region 3: South"	"CENS-R3"	"Asian"	"A"	"Male"	"M"	"2024 "	"2024"	2058	2820660	73.0	69.8	76.1
"Total"	"Census Region 3: South"	"CENS-R3"	"Asian"	"A"	"Male"	"M"			9532	12626977	75.5	74.0	77.0
